date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:22:09	220161/220161	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:37%20GMT	https://www.startech.com.bd/	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/index.html	(from )
23:22:09	89/89	------	200	untouched ('OK')	text/plain	etag:%224a-56097943e6ac0-gzip%22	https://www.startech.com.bd/robots.txt		(from )
23:22:09	156/156	------	302	error ('Found')	text/html	date:Tue,%2013%20Apr%202021%2007:20:40%20GMT	https://www.startech.com.bd/account/account	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/account/account.7.delayed	(from https://www.startech.com.bd/)
23:22:09	8972/8972	------	200	untouched ('')	image/png	etag:%22230c-56b9a2ca99480%22	https://www.startech.com.bd/image/catalog/logo.png	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/image/catalog/logo.png	(from https://www.startech.com.bd/)
23:22:09	78621/78621	------	200	untouched ('OK')	text/css	etag:%221331d-5bf50bbc39800-gzip%22	https://www.startech.com.bd/catalog/view/theme/koyla/stylesheet/stylesheet.min.50.css	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/catalog/view/theme/koyla/stylesheet/stylesheet.min.50.css	(from https://www.startech.com.bd/)
23:22:09	28048/28048	------	200	untouched ('')	application/javascript	etag:%226d90-5bf50bbc39800-gzip%22	https://www.startech.com.bd/catalog/view/theme/koyla/javascript/site.min.50.js	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/catalog/view/theme/koyla/javascript/site.min.50.js	(from https://www.startech.com.bd/)
23:22:09	48759/48759	------	200	untouched ('')	text/javascript	date:Fri,%2019%20Mar%202021%2019:22:18%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Armaan%20Tech/www.google-analytics.com/analytics.js	(from https://www.startech.com.bd/)
23:22:09	93813/93813	------	200	untouched ('OK')	application/x-javascript	date:Tue,%2013%20Apr%202021%2007:20:39%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/Armaan%20Tech/connect.facebook.net/en_US/fbevents.js	(from https://www.startech.com.bd/)
23:22:09	222933/222933	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:39%20GMT	https://www.startech.com.bd/tool/pc_builder	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/tool/pc_builder.html	(from https://www.startech.com.bd/)
23:22:09	224541/224541	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:40%20GMT	https://www.startech.com.bd/information/offer	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/information/offer.html	(from https://www.startech.com.bd/)
23:22:09	211580/211580	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:40%20GMT	https://www.startech.com.bd/account/login	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/account/login.html	(from https://www.startech.com.bd/)
23:22:09	211517/211517	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:40%20GMT	https://www.startech.com.bd/account/register	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/account/register.html	(from https://www.startech.com.bd/)
23:22:09	208198/208198	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:41%20GMT	https://www.startech.com.bd/product/compare	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/product/compare.html	(from https://www.startech.com.bd/)
23:22:10	259148/259148	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:41%20GMT	https://www.startech.com.bd/desktops	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/desktops.html	(from https://www.startech.com.bd/)
23:22:10	236499/236499	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:41%20GMT	https://www.startech.com.bd/desktops/economy-pc	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/desktops/economy-pc.html	(from https://www.startech.com.bd/)
23:22:10	240260/240260	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:41%20GMT	https://www.startech.com.bd/desktops/star-pc	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/desktops/star-pc.html	(from https://www.startech.com.bd/)
23:22:10	222544/222544	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:41%20GMT	https://www.startech.com.bd/desktops/star-pc/ryzen-pc	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/desktops/star-pc/ryzen-pc.html	(from https://www.startech.com.bd/)
23:22:10	228048/228048	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:42%20GMT	https://www.startech.com.bd/desktops/star-pc/intel-pc	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/desktops/star-pc/intel-pc.html	(from https://www.startech.com.bd/)
23:22:10	251764/251764	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:42%20GMT	https://www.startech.com.bd/desktops/gaming-pc	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/desktops/gaming-pc.html	(from https://www.startech.com.bd/)
23:22:10	235695/235695	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:42%20GMT	https://www.startech.com.bd/desktops/gaming-pc/amd-gaming-pc	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/desktops/gaming-pc/amd-gaming-pc.html	(from https://www.startech.com.bd/)
23:22:10	233723/233723	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:43%20GMT	https://www.startech.com.bd/desktops/gaming-pc/intel-gaming-pc	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/desktops/gaming-pc/intel-gaming-pc.html	(from https://www.startech.com.bd/)
23:22:10	261746/261746	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:43%20GMT	https://www.startech.com.bd/desktops/brand-pc	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/desktops/brand-pc.html	(from https://www.startech.com.bd/)
23:22:10	265968/265968	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:43%20GMT	https://www.startech.com.bd/desktops/brand-pc/lenovo-desktop	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/desktops/brand-pc/lenovo-desktop.html	(from https://www.startech.com.bd/)
23:22:11	271127/271127	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:44%20GMT	https://www.startech.com.bd/desktops/brand-pc/hp-desktop	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/desktops/brand-pc/hp-desktop.html	(from https://www.startech.com.bd/)
23:22:11	279888/279888	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:44%20GMT	https://www.startech.com.bd/desktops/brand-pc/dell-desktop	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/desktops/brand-pc/dell-desktop.html	(from https://www.startech.com.bd/)
23:22:11	246296/246296	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:44%20GMT	https://www.startech.com.bd/desktops/brand-pc/asus-desktop	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/desktops/brand-pc/asus-desktop.html	(from https://www.startech.com.bd/)
23:22:11	244275/244275	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:44%20GMT	https://www.startech.com.bd/desktops/brand-pc/acer-desktop	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/desktops/brand-pc/acer-desktop.html	(from https://www.startech.com.bd/)
23:22:11	280020/280020	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:45%20GMT	https://www.startech.com.bd/desktops/all-in-one-pc	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/desktops/all-in-one-pc.html	(from https://www.startech.com.bd/)
23:22:11	246325/246325	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:45%20GMT	https://www.startech.com.bd/desktops/all-in-one-pc/dell-all-in-one	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/desktops/all-in-one-pc/dell-all-in-one.html	(from https://www.startech.com.bd/)
23:22:11	225666/225666	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:45%20GMT	https://www.startech.com.bd/desktops/all-in-one-pc/i-life-all-in-one-pc	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/desktops/all-in-one-pc/i-life-all-in-one-pc.html	(from https://www.startech.com.bd/)
23:22:11	228510/228510	------	200	untouched ('OK')	text/html	date:Tue,%2013%20Apr%202021%2007:20:46%20GMT	https://www.startech.com.bd/desktops/all-in-one-pc/hp-all-in-one	C:/My%20Web%20Sites/Armaan%20Tech/www.startech.com.bd/desktops/all-in-one-pc/hp-all-in-one.html	(from https://www.startech.com.bd/)
